,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
0,AAPL,Apple Inc. Common Stock,157.51,+2.42,(+1.56%),Technology,Computer Manufacturing,"2,699,423,838,000","63,429,579",$6.04,$0.88,"Feb 10, 2022",0.58%,1.18,False
1,MSFT,Microsoft Corporation Common Stock,289.56,+2.41,(+0.84%),Technology,Computer Software: Prepackaged Software,"2,143,429,080,429","22,790,662",$9.39,$2.48,"Jun 9, 2022",0.9%,0.91,False
2,GOOG,Alphabet Inc. Class C Capital Stock,2639.755,+46.545,(+1.79%),Technology,Internet and Information Services,"1,724,718,735,878","900,760",$112.23,N/A,N/A,N/A,1.06,False
3,GOOGL,Alphabet Inc. Class A Common Stock,2629.01,+45.05,(+1.74%),Technology,Internet and Information Services,"1,718,961,675,672","1,008,687",$112.23,N/A,N/A,N/A,1.06,False
4,AMZN,"Amazon.com, Inc. Common Stock",3009.07,+61.74,(+2.09%),Consumer Services,Catalog/Specialty Distribution,"1,511,267,897,700","2,623,915",$64.78,N/A,N/A,N/A,1.11,False
5,TSLA,"Tesla, Inc. Common Stock",832.59,+30.70,(+3.83%),Capital Goods,Auto Manufacturing,"845,708,943,005","20,220,068",$4.90,N/A,N/A,N/A,2.05,False
6,NVDA,NVIDIA Corporation Common Stock,242.095,+12.365,(+5.38%),Technology,Semiconductors,"591,325,000,000","50,018,107",$3.85,$0.16,"Mar 24, 2022",0.08%,1.41,False
7,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,105.4,+3.31,(+3.24%),Technology,Semiconductors,"537,871,040,231","13,405,138",$4.12,$1.547,"Apr 14, 2022",1.58%,0.92,False
8,FB,"Meta Platforms, Inc. Class A Common Stock",200.09,+8.06,(+4.20%),Technology,Internet and Information Services,"537,229,412,451","28,787,658",$13.80,N/A,N/A,N/A,1.39,False
9,UNH,UnitedHealth Group Incorporated Common Stock,491.72,-6.19,(-1.24%),Health Care,Medical Specialities,"461,995,594,173","2,168,033",$18.08,$5.80,"Mar 22, 2022",1.19%,0.87,False
10,JNJ,Johnson & Johnson Common Stock,173.45,-2.69,(-1.53%),Health Care,Biotechnology: Pharmaceutical Preparations,"456,388,366,866","5,738,775",$7.81,$4.24,"Mar 8, 2022",2.47%,0.71,False
11,V,Visa Inc.,209.21,+3.07,(+1.49%),Miscellaneous,Business Services,"435,874,401,150","5,650,026",$6.04,$1.50,"Mar 1, 2022",0.75%,0.92,False
12,WMT,Walmart Inc. Common Stock,144.09,-1.69,(-1.16%),Consumer Services,Department/Specialty Retail Stores,"399,521,714,306","4,949,249",$4.88,$2.24,"Apr 4, 2022",1.53%,0.53,False
13,JPM,JP Morgan Chase & Co. Common Stock,137.5838,+5.1038,(+3.85%),Finance,Major Banks,"402,910,783,957","12,188,065",$15.35,$4.00,"Jan 31, 2022",3.07%,1.13,False
14,XOM,Exxon Mobil Corporation Common Stock,76.52,-0.70,(-0.91%),Energy,Oil & Gas Production,"323,785,148,970","25,806,254",$5.39,$3.52,"Mar 10, 2022",4.3%,1.17,False
15,BAC,Bank of America Corporation Common Stock,42.485,+0.985,(+2.37%),Finance,Major Banks,"364,846,510,424","34,750,780",$3.56,$0.84,"Mar 25, 2022",2.04%,1.41,False
16,PG,Procter & Gamble Company,148.34,-1.93,(-1.28%),Consumer Non-Durables,Package Goods/Cosmetics,"355,988,227,998","3,685,288",$5.66,$3.479,"Feb 15, 2022",2.4%,0.47,False
17,CVX,Chevron Corporation Common Stock,156.71,-1.57,(-0.99%),Energy,Integrated oil Companies,"305,103,707,184","14,748,805",$8.14,$5.68,"Mar 10, 2022",3.41%,1.13,False
18,HD,"Home Depot, Inc.",326.95,-1.59,(-0.48%),Consumer Services,RETAIL: Building Materials,"339,241,981,432","2,103,211",$15.52,$7.60,"Mar 24, 2022",2.39%,1.06,False
19,MA,Mastercard Incorporated Common Stock,340.27,+5.27,(+1.57%),Miscellaneous,Business Services,"330,249,016,709","2,463,096",$8.76,$1.96,"May 9, 2022",0.6%,1.09,False
20,PFE,"Pfizer, Inc. Common Stock",52.49,+0.28,(+0.54%),Health Care,Biotechnology: Pharmaceutical Preparations,"294,607,121,616","20,136,413",$3.85,$1.60,"Mar 4, 2022",3.06%,0.76,False
21,ABBV,AbbVie Inc. Common Stock,154.93,-0.95,(-0.61%),Health Care,Other Pharmaceuticals,"273,935,749,266","4,384,646",$6.45,$5.64,"May 16, 2022",3.71%,0.8,False
22,LLY,Eli Lilly and Company Common Stock,274.69,-0.77,(-0.28%),Health Care,Biotechnology: Pharmaceutical Preparations,"261,590,708,570","1,747,187",$6.14,$3.92,"Mar 10, 2022",1.46%,0.41,False
23,KO,Coca-Cola Company,58.86,-0.76,(-1.27%),Consumer Non-Durables,Beverages (Production/Distribution),"254,962,726,220","9,878,044",$2.26,$1.76,"Apr 1, 2022",3.01%,0.66,False
24,DIS,Walt Disney Company,137.2,+3.00,(+2.24%),Consumer Services,Movies/Entertainment,"247,096,366,134","6,775,126",$1.68,N/A,N/A,N/A,1.17,False
