,Classes,Old Price,Price Change,New Price,date_range
0,Peugeot 5008 A/T / Active Pack 2023,"1,029,990 EGP","trending_up +110,000 EGP","1,139,990 EGP",1/19/2023
1,Ssang Yong Tivoli XLV A/T / Style 2023,"675,000 EGP","trending_up +5,000 EGP","680,000 EGP",1/19/2023
2,Ssang Yong Tivoli XLV A/T / Comfort 2023,"605,000 EGP","trending_up +185,000 EGP","790,000 EGP",1/19/2023
3,Ssang Yong Tivoli A/T / Style Plus 2023,"665,000 EGP","trending_up +185,000 EGP","850,000 EGP",1/19/2023
4,Ssang Yong Tivoli A/T / Comfort 2023,"590,000 EGP","trending_up +170,000 EGP","760,000 EGP",1/19/2023
5,Bestune B70 A/T / Deluxe 2023,"845,000 EGP","trending_up +10,000 EGP","855,000 EGP",1/19/2023
6,Bestune T77 Pro A/T / Premium 2023,"825,000 EGP","trending_up +10,000 EGP","835,000 EGP",1/19/2023
7,Ford Focus A/T / Titanium 5Dr 2023,"710,000 EGP","trending_up +50,000 EGP","760,000 EGP",1/18/2023
8,Ford Focus A/T / Connected 5d 2023,"670,000 EGP","trending_up +50,000 EGP","720,000 EGP",1/18/2023
9,Ford Focus A/T / Titanium 4d 2023,"715,000 EGP","trending_up +50,000 EGP","765,000 EGP",1/18/2023
10,Ford Focus A/T / Connected 4d 2023,"680,000 EGP","trending_up +50,000 EGP","730,000 EGP",1/18/2023
11,Ford Focus A/T / Trend 4d 2023,"560,000 EGP","trending_up +140,000 EGP","700,000 EGP",1/18/2023
12,Changan CS55 Plus A/T / Flagship 2022,"880,000 EGP","trending_up +45,000 EGP","925,000 EGP",1/18/2023
13,Changan CS55 Plus A/T / Premium 2022,"840,000 EGP","trending_up +35,000 EGP","875,000 EGP",1/18/2023
14,Changan CS55 Plus A/T / Elite 2022,"775,000 EGP","trending_up +45,000 EGP","820,000 EGP",1/18/2023
15,Changan CS 35 Plus A/T / FLAGSHIP 2022,"760,000 EGP","trending_up +20,000 EGP","780,000 EGP",1/18/2023
16,Changan CS 35 Plus A/T / PREMIUM 2022,"710,000 EGP","trending_up +20,000 EGP","730,000 EGP",1/18/2023
17,Changan CS 35 Plus A/T / ELITE 2022,"660,000 EGP","trending_up +25,000 EGP","685,000 EGP",1/18/2023
18,Changan CS 15 A/T / L2 2022,"435,000 EGP","trending_up +30,000 EGP","465,000 EGP",1/18/2023
19,Changan CS 15 A/T / L1 2022,"410,000 EGP","trending_up +30,000 EGP","440,000 EGP",1/18/2023
